p edge 59 89
e 1 45 1
e 1 5 1
e 1 39 1
e 2 17 1
e 2 20 1
e 2 55 1
e 2 39 1
e 3 10 1
e 3 20 1
e 3 40 1
e 4 18 1
e 4 43 1
e 4 53 1
e 4 51 1
e 6 17 1
e 6 18 1
e 6 37 1
e 6 50 1
e 7 25 1
e 8 43 1
e 8 53 1
e 8 16 1
e 9 52 1
e 9 30 1
e 10 34 1
e 10 14 1
e 10 31 1
e 10 56 1
e 11 50 1
e 12 26 1
e 12 59 1
e 12 20 1
e 12 36 1
e 13 47 1
e 13 31 1
e 14 48 1
e 14 37 1
e 14 32 1
e 15 33 1
e 15 53 1
e 15 20 1
e 15 29 1
e 17 37 1
e 18 22 1
e 19 25 1
e 20 37 1
e 20 22 1
e 20 30 1
e 21 49 1
e 21 58 1
e 23 36 1
e 25 26 1
e 25 43 1
e 25 46 1
e 26 35 1
e 26 53 1
e 26 31 1
e 26 32 1
e 27 49 1
e 27 43 1
e 27 30 1
e 28 49 1
e 28 37 1
e 28 30 1
e 28 38 1
e 29 40 1
e 30 53 1
e 32 52 1
e 32 37 1
e 32 42 1
e 33 35 1
e 34 44 1
e 35 52 1
e 35 40 1
e 36 41 1
e 36 37 1
e 37 52 1
e 37 54 1
e 37 56 1
e 38 46 1
e 39 56 1
e 42 49 1
e 43 46 1
e 43 57 1
e 43 56 1
e 45 48 1
e 47 51 1
e 48 59 1
e 48 52 1
